#,Procedimiento,"Nombre o razón social del proveedor",Ejercicio,Trimestre,"Sujeto obligado contratante","Sujeto obligado solicitante","Número de contrato","Objeto del contrato",Descripción,"Fundamento jurídico","Fecha de celebración","Fecha de inicio","Fecha de término","Monto original de contrato","Archivo del contrato en PDF","Área responsable de la información","Fecha de validación",Año,"Fecha de actualización",Nota,Estatus,"Monto modificado","Monto total","Monto pagado a la fecha"
1,"Licitación pública","María Isabel Arvide Limón",2015,"2o Trimestre (Abril-Junio)",,*prueba,"Sin contrato","Sin contrato","Sin contrato","Sin contrato",,,,"$ 0.00",Ciclo_de_Vida_Proyectos.pdf,,,,,,Activo,$0.00,"$ 0.00","$ 0.00"
108,"Adjudicación directa","Anaka S.A. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",220/2016,"Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 710,400.00",220_ANAKA_S.A._DE_C.V..pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 710,400.00","$ 710,400.00"
109,"Adjudicación directa","Luis José Mircoli Simone",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",144/2016,"Cobertura Publicitaria del Gobierno del Estado
 
 ","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 353,690.64",144_LUIS_MIRCOLI.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 353,690.64","$ 353,690.64"
110,"Adjudicación directa","Editorial Ovaciones S.A. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",221/2016,"Cobertura Periodística del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 1,740,000.00",221_EDITORIAL_OVACIONES_S.A._DE_C.V..pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 1,740,000.00","$ 1,740,000.00"
111,"Adjudicación directa","Luis Alberto Pavia Mendoza",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",080/2016,"Cobertura de  Propaganda Radiofonica Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 388,500.00",080-LUIS_ALBERTO_PAVIA_MENDOZA.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 388,500.00","$ 388,500.00"
112,"Adjudicación directa","Luis Alberto Pavia Mendoza",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",081/2016,"Cobertura de  Propaganda Radiofonica Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 777,000.00",081-LUIS_ALBERTO_PAVIA_MENDOZA.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 777,000.00","$ 777,000.00"
113,"Adjudicación directa","Arnaldo Rúben Cortes Fernández",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",145/2016,"Cobertura Periodística del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 196,986.00",145_ARNALDO_RUBEN.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 196,986.00","$ 196,986.00"
114,"Adjudicación directa","Luis Alberto Pavia Mendoza",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",082/2016,"Cobertura de  Propaganda Radiofonica Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 847,636.30",082-LUIS_ALBERTO_PAVIA_MENDOZA.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 847,636.30","$ 847,636.30"
115,"Adjudicación directa","Rogelio Rivero Reyes",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",089/2016,"Cobertura Periodística del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 254,657.28",089._ROGELIO_RIVERO_REYES.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 254,657.28","$ 254,657.28"
116,"Adjudicación directa","Laura Elizabeth Rivero Aburto",2016,"2o Trimestre (Abril-Junio)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",090/2016,"Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 191,808.00",090._LAURA_ELIZABETH_RIVERO_ABURTO.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 191,808.00","$ 95,904.00"
117,"Adjudicación directa","Ignacio Xicotencatl Lopez Salas",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",091/2016,"Cobertura Periodística del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficialo",,,,"$ 99,475.50",091-XICOTENCATL_LOPEZ_SALAS.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 99,475.50","$ 99,475.50"
118,"Adjudicación directa","Blanca Francisca Monroy López",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",093/2016,"Cobertura Periodística del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 938,263.92",Blanca_Francisca.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 938,263.92","$ 938,263.92"
119,"Adjudicación directa","Luis Enrique Tuz Gongora",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",094/2016,"Cobertura Periodística del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 132,633.96",094-LUIS_ENRIQUE_TUZ_GONGORA.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 132,633.96","$ 132,633.96"
120,"Adjudicación directa","Reporte Índigo de México S.A. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",096/2016,"Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 3,500,000.00",096._REPORTE_INDIGO_DE_MEXICO.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 3,500,000.00","$ 3,500,000.00"
121,"Adjudicación directa","Gustavo Renteria Villa",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",095/2016,"Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado."," Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.
 
 ",,,,"$ 348,000.00",095-GUSTAVO_RENTERIA_VILLA.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 348,000.00","$ 348,000.00"
122,"Adjudicación directa","Iliana Abigail Castillo",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",100/2016,"Cobertura Publicitaria del Gobierno del Estadoo","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 33,300.00",ILIANA_ABIGAIL.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 33,300.00","$ 33,300.00"
123,"Adjudicación directa","Uriel Arroyo Julio",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",099/2016,"Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 315,000.00",URIEL_ARROYO.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 315,000.00","$ 315,000.00"
124,"Adjudicación directa","Blanca Esther Buenfil Vanegas",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",101/2016,"Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 66,600.06",Blanca_Esther_Buenfil.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 66,600.06","$ 66,600.06"
125,"Adjudicación directa","Televisora de Cancún S.A. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",098/2016,"Cobertura de  Propaganda Televisiva del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 4,640,000.00",098-TELEVISORA_DE_CANCUN.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 4,640,000.00","$ 4,640,000.00"
126,"Adjudicación directa","Oscar Patricio Vázquez López",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",106/2016,"Cobertura Publicitaria del Gobierno del Estado","Difundir Actividades del Gobierno del Estado","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 83,250.00",Oscar_Patricio.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 83,250.00","$ 83,250.00"
127,"Adjudicación directa","Simon Issac Benítez Hoil",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",108/2016,"Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 749,250.00",Simon_Issac.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 749,250.00","$ 749,250.00"
128,"Adjudicación directa","Mayra Veronica Sierra García",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",109/2016,"Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 128,205.00",109._MAYRA_VERONICA_SIERRA_GARCIA.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 128,205.00","$ 109,890.00"
129,"Adjudicación directa","Compañía Tipográfica Yucateca S.A. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",102/2016,"Cobertura Periodística del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 1,184,000.00",Compania_tipografica_yucateca.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 1,184,000.00","$ 1,184,000.00"
130,"Adjudicación directa","Dimas Agustín Labrada Aguilera",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",097/2016,"Cobertura Periodística del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",,,,"$ 66,316.98",097-Labrada_Aguilera.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 66,316.98","$ 66,316.98"
131,"Adjudicación directa","Proyectos Integrales de la A a la Z S.A. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",146/2016,"Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 180,000.00",146-PROYECTOS_INTEGRALES_DE_LA_A_A_LA_Z_SA_DE_CV.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 180,000.00","$ 180,000.00"
132,"Adjudicación directa","Ediciones Digitales de Quintana Roo S.A. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",132/2016,"Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 266,400.00",132-Ediciones_Digitales_de_Quintana_Roo_S.A._de_C.V..pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 266,400.00","$ 266,400.00"
133,"Adjudicación directa","Georgina Gertrudis Gomez Garcia",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",222/2016,"Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 181,800.00",222_GEORGINA_GERTRUDIS_GOMEZ_GARCIA.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 181,800.00","$ 181,800.00"
134,"Adjudicación directa","Comunicación Integral Salomón y Asociados S.C.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",223/2016,"Cobertura Publicitaria del Gobierno del Estado.
 ","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 812,000.00",223_Comunicacion_Integral.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 812,000.00","$ 812,000.00"
135,"Adjudicación directa","Irasema Guadalupe Velasco Argente",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",218/2016,"Cobertura Periodística del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",,,,"$ 88,422.64",218_Irasema_Guadalupe.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 88,422.64","$ 88,422.64"
136,"Adjudicación directa","Dante Ang Echaniz",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",224/2016,"Cobertura Periodística del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 208,800.00",224_DANTE_ANG_ECHANIZ.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 208,800.00","$ 208,800.00"
137,"Adjudicación directa","LRHG Informativo S.A. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",147/2016,"Cobertura Periodística del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 1,624,000.00",147_LRHG_INFORMATIVO.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 1,624,000.00","$ 1,624,000.00"
138,"Adjudicación directa","Meta Medio S.C.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",225/2016,"Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 3,712,000.00",225_META_MEDIO_S.C..pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 3,712,000.00","$ 3,712,000.00"
