#,"Número de factura",Proveedor,Contrato,Orden,Ejercicio,Trimestre,Monto,"Archivo factura en PDF (Vínculo al archivo)","Archivo factura en XML (Vínculo al archivo)","Fecha de erogación",Estatus
604,"octubre 519","Circulo Operativo de Servicios Administrativos S. A. de C.V.",152/2016,"Sin orden de compra",2016,"4o Trimestre (Octubre-Diciembre)",200000.00,,,2016-10-31,Activo
605,"abril 042, mayo 043, junio 044","Jose Javier Mendez Camacho",203/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",49737.72,abrilmayjunio.pdf,,2016-06-30,Activo
606,"julio 045, agosto 046","Jose Javier Mendez Camacho",203/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",33158.48,julioagosto_bey0o5dl9ygo.pdf,,2016-08-31,Activo
607,"Enero 40238, febrero 40486, marzo 40962","Novedades de Quintana Roo S.A. de C.V.",153/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",3135135.12,,,2016-03-31,Activo
608,"Enero 690, febrero 743, marzo 816","Información Integral 24/7 S.A.P.I. de C.V.",204/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",626400.00,enerofebmarzo_365g6rriz7i8o.pdf,,2016-03-31,Activo
609,"abril 41423, mayo 41889, junio 42453","Novedades de Quintana Roo S.A. de C.V.",153/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",3135135.12,,,2016-06-30,Activo
610,"abril 867, mayo 915.","Información Integral 24/7 S.A.P.I. de C.V.",204/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",417600.00,abrilmayojunio_bey0ohzhmdyz.pdf,,2016-05-31,Activo
611,"julio 43052, agosto 43285.","Novedades de Quintana Roo S.A. de C.V.",153/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",2090090.08,,,2016-08-31,Activo
612,"Enero 706, febrero 973, marzo 1595","Novedades de Quintana Roo S.A. de C.V.",154/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",2611567.56,,,2016-03-31,Activo
613,"abril 2155, mayo 2846, junio 3570","Novedades de Quintana Roo S.A. de C.V.",154/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",2611567.56,,,2016-06-30,Activo
614,"julio 4262, agosto 4956.","Novedades de Quintana Roo S.A. de C.V.",154/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",1741045.04,,,2016-08-31,Activo
615,"Enero 3825, febrero 3842, marzo 3963","Crea Actividad Vera S.A. de C.V.",155/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",519600.03,,,2016-03-31,Activo
616,"abril 3962, mayo 4041, junio 4103.","Crea Actividad Vera S.A. de C.V.",155/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",519600.03,,,2016-06-30,Activo
617,"Enero 3826, febrero 3843, marzo 4003","Crea Actividad Vera S.A. de C.V.",156/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",350399.97,,,2016-03-31,Activo
618,"abril 4002, mayo 4042, junio 4104","Crea Actividad Vera S.A. de C.V.",156/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",350399.97,,,2016-06-30,Activo
619,"Enero 224, febrero 230, marzo 237,","Prime Effect S.A. de C.V.",157/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",974400.00,,,2016-03-31,Activo
620,"abril 246, mayo 253.","Prime Effect S.A. de C.V.",157/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",649600.00,,,2016-05-31,Activo
621,"enero 18792, febrero 19094, marzo 19344","Organización Editorial Acuario S.A. de C.V.",159/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",4872000.00,,,2016-03-31,Activo
622,"Abril 19667, mayo 20009, junio 20332","Organización Editorial Acuario S.A. de C.V.",159/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",4872000.00,,,2016-06-30,Activo
623,"Julio 20944, agosto 21740, septiembre 22269","Organización Editorial Acuario S.A. de C.V.",159/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",4872000.00,,,2016-09-30,Activo
624,"enero 330","Publicaciones Zafiro S.A. de C.V.",160/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",404040.01,,,2016-01-31,Activo
625,"Enero 166883, febrero 167716, marzo 169793","El universal Compañía Periodística Nacional S.A. de C.V.",161/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",3000000.00,,,2016-03-31,Activo
626,"abril 172591, mayo 172095, junio 173962","El universal Compañía Periodística Nacional S.A. de C.V.",161/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",3000000.00,,,2016-06-30,Activo
627,"Julio 175515","El universal Compañía Periodística Nacional S.A. de C.V.",161/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",1000000.00,,,2016-07-31,Activo
628,"Enero 1261, febrero 1267, marzo 1272","Nexos Sociedad Ciencia y Literatura S.A. de C.V.",162/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",315148.80,,,2016-03-31,Activo
629,"abril 1283, mayo 1293.","Nexos Sociedad Ciencia y Literatura S.A. de C.V.",162/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",210099.20,,,2016-05-31,Activo
630,"Enero 11520, febrero 11563, marzo  11724","Grupo de Radiofusoras S.A. de C.V.",163/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",3480000.00,,,2016-03-31,Activo
631,"Abril 12006, mayo 12054, junio 12214","Grupo de Radiofusoras S.A. de C.V.",163/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",3480000.00,,,2016-06-30,Activo
632,"julio 12374.","Grupo de Radiofusoras S.A. de C.V.",163/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",1160000.00,,,2016-07-31,Activo
633,"abril 090, mayo 095, junio 101,","José Gerardo García  Sánchez",083/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",242400.00,,,2016-06-30,Activo
634,"julio 106, agosto 108, septiembre 110.","José Gerardo García  Sánchez",083/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",242400.00,,,2016-09-30,Activo
635,"Enero 073, febrero 082, marzo 087","Medios Impresos Daru S.A. de C.V.",084/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",696000.00,,,2016-03-31,Activo
636,"abril 090, mayo 095, junio 101","Medios Impresos Daru S.A. de C.V.",084/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",696000.00,,,2016-06-30,Activo
637,"julio 106, agosto 108, septiembre 110.","Medios Impresos Daru S.A. de C.V.",084/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",696000.00,,,2016-09-30,Activo
638,"enero 027.","Osiris Vianey Paredes Santamaría",086/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",11100.00,,,2016-01-31,Activo
639,"Enero-febrero-marzo 020","Rossana Noemi Marrufo Chi",087/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",23200.00,,,2016-03-31,Activo
640,"abril-mayo-junio 028","Rossana Noemi Marrufo Chi",087/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",23200.00,,,2016-06-30,Activo
641,"Enero 026, febrero 027, marzo 028","Rogelio Rivero Reyes",089/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",95496.48,,,2016-03-31,Activo
642,"bril 029, mayo 030, junio 031","Rogelio Rivero Reyes",089/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",95496.48,,,2016-06-30,Activo
643,"julio 032, agosto 033.","Rogelio Rivero Reyes",089/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",63664.32,,,2016-08-31,Activo
644,"mayo 001, junio 002,","Laura Elizabeth Rivero Aburto",090/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",47952.00,,,2016-06-30,Activo
645,"ulio 003, agosto 004.","Laura Elizabeth Rivero Aburto",090/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",47952.00,,,2016-08-31,Activo
646,"Enero 025, febrero 026, marzo 027","Ignacio Xicotencatl Lopez Salas",091/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",49737.75,,,2016-03-31,Activo
647,"Abril 028, mayo 029, junio 030.","Ignacio Xicotencatl Lopez Salas",091/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",49737.75,,,2016-06-30,Activo
648,"Enero 141, febrero 142, marzo 143","Blanca Francisca Monroy López",093/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",351848.97,,,2016-03-31,Activo
649,"abril 144, mayo 145, junio 146","Blanca Francisca Monroy López",093/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",351848.97,,,2016-03-31,Activo
650,"Julio 147, agosto 148.","Blanca Francisca Monroy López",093/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",234565.98,,,2016-08-31,Activo
651,"Enero 001, febrero 002, marzo 003,","Luis Enrique Tuz Gongora",094/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",66316.98,,,2016-03-31,Activo
652,001/VOCERO,"Unidad del Vocero del Gobierno del Estado",001/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",9000784.64,Presupuesto_2015.pdf,,2015-12-31,Activo
653,"abril 004, mayo 005, junio 006","Luis Enrique Tuz Gongora",094/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",66316.98,,,2016-06-30,Activo
654,"Enero 123, febrero 125, marzo 130","Gustavo Renteria Villa",095/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",174000.00,,,2016-03-31,Activo
655,002/VOCERO,"Unidad del Vocero del Gobierno del Estado",001/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",7832688.49,Presupuesto_2015_365f2degdekgk.pdf,,2015-12-31,Activo
656,"abril 133, mayo 139, junio 151.","Gustavo Renteria Villa",095/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",174000.00,,,2016-06-30,Activo
657,001/SINTRA,"Secretaría de Infraestructura y Transporte",002/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",12015991.56,Presupuesto_2015_bexwnr0gjlir.pdf,,2015-12-31,Activo
658,"Enero 007, febrero 019, marzo 035","Reporte Índigo de México S.A. de C.V.",096/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",1500000.00,,,2016-03-31,Activo
659,001/SEGOB,"Secretaría de Gobierno",003/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",17151450.96,Presupuesto_2015_365f3yozf58gc.pdf,,2015-12-31,Activo
660,"abril 064, mayo 092, junio 110","Reporte Índigo de México S.A. de C.V.",096/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",1500000.00,,,2016-06-30,Activo
661,"julio 119.","Reporte Índigo de México S.A. de C.V.",096/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",500000.00,,,2016-07-31,Activo
662,002/SEGOB,"Secretaría de Gobierno",003/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",244500.00,Presupuesto_2015_365f3zu1w3msc.pdf,,2015-12-31,Activo
663,"Enero 030, febrero 031, marzo 032","Dimas Agustín Labrada Aguilera",097/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",33158.49,,,2016-03-31,Activo
664,003/SEGOB,"Secretaría de Gobierno",003/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",7298069.72,Presupuesto_2015_365f40zoblmow.pdf,,2015-12-31,Activo
665,"abril 033, mayo 034, junio 035.","Dimas Agustín Labrada Aguilera",097/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",33158.49,,,2016-06-30,Activo
666,001/SEFIPLAN,"Secretaría de Finanzas y Planeación",004/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",31533672.76,Presupuesto_2015_bexwtm3x4vyg.pdf,,2015-12-31,Activo
667,002/SEFIPLAN,"Secretaría de Finanzas y Planeación",004/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",9264549.71,Presupuesto_2015_365f499zgw840.pdf,,2015-12-31,Activo
668,003/SEFIPLAN,"Secretaría de Finanzas y Planeación",004/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",2320000.00,Presupuesto_2015_bexwtu37f277.pdf,,2015-12-31,Activo
669,004/SEFIPLAN,"Secretaría de Finanzas y Planeación",004/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",37275669.59,Presupuesto_2015_365f4bbtgqqsw.pdf,,2015-12-31,Activo
670,001/SEDUVI,"Secretaría de Desarrollo Urbano y Vivienda",005/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",11767542.12,Presupuesto_2015_365f4i7qy4ys8.pdf,,2015-12-31,Activo
671,"Enero 1780, febrero 1839, marzo 1893","Televisora de Cancún S.A. de C.V.",098/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",1740000.00,,,2016-03-31,Activo
672,002/SEDUVI,"Secretaría de Desarrollo Urbano y Vivienda",005/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",20000.00,Presupuesto_2015_bexwuqa1dnwg.pdf,,2015-12-31,Activo
673,"bril 1968, mayo 2023, junio 2082,","Televisora de Cancún S.A. de C.V.",098/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",1740000.00,,,2016-06-30,Activo
674,001/SEDETUR,"Secretaría de Turismo",006/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",38667178.32,Presupuesto_2015_365f4u7tju048.pdf,,2015-12-31,Activo
675,"julio 2163, agosto 2230.","Televisora de Cancún S.A. de C.V.",098/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",1160000.00,,,2016-08-31,Activo
676,002/SEDETUR,"Secretaría de Turismo",006/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",2550508.80,Presupuesto_2015_365f4v3jocw0w.pdf,,2015-12-31,Activo
677,"Enero 027, febrero 028, marzo 029","Uriel Arroyo Julio",099/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",105000.00,,,2016-08-31,Activo
678,"abril 030, mayo 031, junio 032","Uriel Arroyo Julio",099/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",105000.00,,,2016-06-30,Activo
679,"julio 033, agosto 034, septiembre 035.","Uriel Arroyo Julio",099/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",105000.00,,,2016-09-30,Activo
680,001/SEYC,"Secretaría de Educación y Cultura",007/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",10416392.28,Presupuesto_2015_365f58vqze4gw.pdf,,2015-12-31,Activo
681,"enero 287, febrero 288, marzo 289.","Iliana Abigail Castillo",100/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",33300.00,,,2016-03-31,Activo
682,002/SEYC,"Secretaría de Educación y Cultura",007/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",30355.20,Presupuesto_2015_bexwxulqq4b1.pdf,,2015-12-31,Activo
683,"Enero 063, febrero 064, marzo 067","Blanca Esther Buenfil Vanegas",101/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",33300.03,,,2016-03-31,Activo
684,003/SEYC,"Secretaría de Educación y Cultura",007/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",17181896.76,Presupuesto_2015_365f5hotfg8wk.pdf,,2015-12-31,Activo
685,"abril 068, mayo 071, junio 74.","Blanca Esther Buenfil Vanegas",101/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",33300.03,,,2016-06-30,Activo
686,001/SEDE,"Secretaría de Desarrollo Económico",008/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",18420247.68,Presupuesto_2015_365f5pv02b0gw.pdf,,2015-12-31,Activo
687,"Enero 7640, febrero 554559, marzo 555180","Compañía Tipográfica Yucateca S.A. de C.V.",102/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",444000.00,,,2016-03-31,Activo
688,"Abril 8019, mayo 8022, junio 8023","Compañía Tipográfica Yucateca S.A. de C.V.",102/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",444000.00,,,2016-06-30,Activo
689,002/SEDE,"Secretaría de Desarrollo Económico",008/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",1007.60,Presupuesto_2015_365f5qqyrbwgk.pdf,,2015-12-31,Activo
690,003/SEDE,"Secretaría de Desarrollo Económico",008/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",1856000.00,Presupuesto_2015_bexwzcje1ur5.pdf,,2015-12-31,Activo
691,"Julio 8158, agosto 8300.","Compañía Tipográfica Yucateca S.A. de C.V.",102/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",296000.00,,,2016-08-31,Activo
692,001/OM,"Oficialía Mayor",009/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",1561600.00,,,2015-12-31,Activo
693,"Enero 195, febrero 197, marzo 199","Render Digital Solutions S.A. de C.V.",104/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",1044000.00,,,2016-03-31,Activo
694,002/OM,"Oficialía Mayor",009/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",30153313.57,,,2015-12-31,Activo
695,"abril 203, mayo 205, junio 210","Render Digital Solutions S.A. de C.V.",104/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",1044000.00,,,2016-06-30,Activo
696,001/PGJE,"Procuraduría General de Justicia del Estado",010/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",6871400.00,Presupuesto_2015_365f5zohz1eso.pdf,,2015-12-31,Activo
697,"julio 212, agosto 221, septiembre 224.","Render Digital Solutions S.A. de C.V.",104/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",1044000.00,,,2016-09-30,Activo
698,002/PGJE,"Procuraduría General de Justicia del Estado",010/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",34600.00,Presupuesto_2015_153e3lw1uovi.pdf,,2015-12-31,Activo
699,"Enero 196, febrero 198, marzo 200","Render Digital Solutions S.A. de C.V.",105/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",1044000.00,,,2016-03-31,Activo
700,003/PGJE,"Procuraduría General de Justicia del Estado",010/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",40000441.46,Presupuesto_2015_365f64ep0qwwc.pdf,,2015-12-31,Activo
701,"abril 204, mayo 206, junio 211","Render Digital Solutions S.A. de C.V.",105/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",1044000.00,,,2016-06-30,Activo
702,001/SGP,"Secretaría de la Gestión Pública",011/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",46318883.88,Presupuesto_2015_365f69rpwbc4w.pdf,,2015-12-31,Activo
703,"julio 213, agosto 222, septiembre 225","Render Digital Solutions S.A. de C.V.",105/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",1044000.00,,,2016-09-30,Activo
704,002/SGP,"Secretaría de la Gestión Pública",011/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",6782213.76,Presupuesto_2015_365f6ax4x42so.pdf,,2015-12-31,Activo
705,001/SESA,"Secretaría de Salud",012/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",9884784.96,Presupuesto_2015_365f6fw2v268o.pdf,,2015-12-31,Activo
706,"Enero 037, febrero 038, marzo 039","Oscar Patricio Vázquez López",106/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",49950.00,,,2016-03-31,Activo
707,002/SESA,"Secretaría de Salud",012/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",10377462.91,Presupuesto_2015_365f6gx0tew4s.pdf,,2015-12-31,Activo
708,"abril 040, mayo 041.","Oscar Patricio Vázquez López",106/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",33300.00,,,2016-05-31,Activo
709,001/SEDARU,"Secretaría de Desarrollo Agropecuario y Rural",013/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",8318880.24,Presupuesto_2015_bexx2d1e0jba.pdf,,2015-12-31,Activo
710,"Enero 100, febrero 102, marzo 104","Simon Issac Benítez Hoil",108/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",249750.00,,,2016-03-31,Activo
711,002/SEDARU,"Secretaría de Desarrollo Agropecuario y Rural",013/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",19720.00,Presupuesto_2015_bexx2fz6wn68.pdf,,2015-12-31,Activo
712,"abril 108, mayo 110, junio 118","Simon Issac Benítez Hoil",108/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",249750.00,,,2016-06-30,Activo
713,003/SEDARU,"Secretaría de Desarrollo Agropecuario y Rural",013/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",13290900.24,Presupuesto_2015_365f6rmi2uucs.pdf,,2015-12-31,Activo
714,"julio 123, agosto 124, septiembre 128.","Simon Issac Benítez Hoil",108/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",249750.00,,,2016-09-30,Activo
715,001/SSP,"Secretaría de Seguridad Pública",014/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",17143017.21,Presupuesto_2015_365f6x45i2o0k.pdf,,2015-12-31,Activo
716,001/SEDESI,"Secretaría de Desarrollo Social e Indígena",016/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",15155400.00,Presupuesto_2015_bexx4p6e17ni.pdf,,2015-12-31,Activo
717,002/SSP,"Secretaría de Seguridad Pública",014/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",45026251.63,Presupuesto_2015_365f6y4zvnwg4.pdf,,2015-12-31,Activo
718,002/SEDESI,"Secretaría de Desarrollo Social e Indígena",016/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",43732.00,Presupuesto_2015_365f7ezgota8w.pdf,,2015-12-31,Activo
719,001/SEMA,"Secretaría de Ecología y Medio Ambiente",015/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",13920000.00,Presupuesto_2015_153e3z7cnctt.pdf,,2015-12-31,Activo
720,003/SEDESI,"Secretaría de Desarrollo Social e Indígena",016/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",5798.82,Presupuesto_2015_bexx6ml6qat3.pdf,,2015-12-31,Activo
721,002/SEMA,"Secretaría de Ecología y Medio Ambiente",015/EJERCIDO/2015,"Sin orden de compra",2015,"4o Trimestre (Octubre-Diciembre)",2413969.04,Presupuesto_2015_365f73dlk8isk.pdf,,2015-12-31,Activo
722,"Enero 4400, febrero 4443, marzo 4549","Televisión y Radio Caribe S.A. de C.V.",010/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",1700850.00,,,2016-03-31,Activo
723,"Enero 1198, febrero 1219, marzo 1247","Turquesa Organización S.A. de C.V.",011/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",1700850.00,,,2016-01-31,Activo
724,"julio 03897","Compañía Editorial  del Sureste SA DE CV",234/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",3480000.00,,,2016-07-31,Activo
725,"julio 358, agosto 361","Rita Iliana Bacab Chavarria",175/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",218867.92,3ER._TRIMESTRE_175.pdf,,2016-08-31,Activo
726,"Enero 7624, febrero 7809, marzo 7993","Grupo Informático Cancun Caribe  SA de CV",014/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",3135135.80,,,2016-03-31,Activo
727,"abril 8185, mayo 8350, junio 8540","Grupo Informático Cancun Caribe  SA de CV",014/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",3135135.80,,,2016-06-30,Activo
728,"julio 8790, agosto 8955, septiembre 9136.","Grupo Informático Cancun Caribe  SA de CV",014/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",3135135.80,,,2016-09-30,Activo
729,"Enero 7637, febrero 7810, marzo 7994","Grupo Informático Cancun Caribe  SA de CV",015/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",3135135.80,,,2016-03-31,Activo
730,"abril 8186, mayo 8351, junio 8541","Grupo Informático Cancun Caribe  SA de CV",015/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",3135135.80,,,2016-06-30,Activo
731,"julio 8791, agosto 8956, septiembre 9135.","Grupo Informático Cancun Caribe  SA de CV",015/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",3135135.80,,,2016-09-30,Activo
732,"Enero 7626, febrero 7811, marzo 7995","Grupo Informático Cancun Caribe  SA de CV",016/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",104400.00,,,2016-03-31,Activo
733,"abril 8187, mayo 8352, junio 8542","Grupo Informático Cancun Caribe  SA de CV",016/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",104400.00,,,2016-06-30,Activo
734,"julio 8792, agosto 8957,septiembre 9137.","Grupo Informático Cancun Caribe  SA de CV",016/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",104400.00,,,2016-09-30,Activo
735,"Enero 54, febrero 61, marzo 70","Jesús Cruz Martínez",067/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",19980.00,,,2016-03-31,Activo
736,"abril 73, mayo 77, junio 81","Jesús Cruz Martínez",067/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",19980.00,,,2016-06-30,Activo
737,"julio 85, agosto 001, septiembre 006","Jesús Cruz Martínez",067/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",19980.00,,,2016-09-30,Activo
738,"Enero 075, febrero 077, marzo 079","Lorenzo Pacheco González",070/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",218846.01,,,2016-03-31,Activo
739,"abril 081, mayo 083, junio 086","Lorenzo Pacheco González",070/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",218846.01,,,2016-06-30,Activo
740,"julio 090, agosto 093, septiembre 094.","Lorenzo Pacheco González",070/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",218846.01,,,2016-09-30,Activo
